Date,SBIN.BO,TITAN.BO,RELIANCE.BO,ICICIBANK.BO,AXISBANK.BO,LT.BO,ULTRACEMCO.BO,ITC.BO,ONGC.BO,INFY.BO
11-09-2017,270.8500061,622.5638428,805.6723633,285.1057434,492.5883179,1137.665894,4130.854004,244.9000092,136.7330322,397.7728271
12-09-2017,273.5,626.6460571,810.793335,285.2037354,494.9353943,1148.370117,4186.831543,248.2542267,135.6870422,400.1724854
13-09-2017,273.3500061,620.2030029,836.2014771,286.036499,498.1813354,1143.134888,4138.192383,242.8428192,134.8920898,400.0366211
14-09-2017,273.8999939,623.3999634,831.3759155,287.8980408,519.1054077,1135.609009,4167.098145,243.155899,133.3858185,403.998291
15-09-2017,272.0499878,621.5310059,830.5880737,286.036499,516.9080811,1133.505493,4169.378906,240.9197693,139.6618347,411.3782959
18-09-2017,270.1499939,635.1548462,832.5576782,286.6733398,522.9006348,1157.204956,4165.660645,238.6388855,138.4066315,411.3103943
19-09-2017,267.7999878,629.6462402,827.2396851,288.3878784,520.2039795,1146.547119,4151.92627,239.5333557,138.8668823,412.6007385
20-09-2017,270.5499878,620.1538086,834.2318115,284.90979,518.7058716,1154.77417,4161.842773,242.5745239,140.20578,412.9176941
21-09-2017,268.5,608.4973755,828.5199585,279.2272644,511.6146851,1147.809326,4133.630859,241.0092163,139.5751648,411.8084412
22-09-2017,261.8999939,592.020874,805.0814819,271.4873352,504.423584,1107.749268,3960.788574,239.9358521,138.2718811,406.6016541
25-09-2017,258.6499939,592.6603394,807.9866943,273.8386841,500.6782532,1088.817749,3878.235107,234.7033539,138.2718811,405.9678345
26-09-2017,257.8999939,581.8890991,806.7556763,276.973877,509.7669678,1084.330322,3881.309326,234.4350128,144.2416534,410.4048767
27-09-2017,250.4499969,577.5117798,786.4685669,270.654541,504.8730469,1064.884888,3766.874512,231.3044434,143.1065674,406.8733521
28-09-2017,252.8000031,566.199585,774.798584,269.968689,511.1152954,1059.088257,3830.140869,233.5852661,144.6620636,405.5377197
29-09-2017,253.75,573.1836548,770.2684937,271.3403625,508.1689453,1066.894531,3820.571777,230.9913788,143.4849396,406.9186096
03-10-2017,251.3000031,589.7092896,786.2223511,272.809967,507.8693237,1060.490723,3865.740723,233.7641754,143.3167725,409.2729187
04-10-2017,253.3500061,590.9880981,806.7556763,270.4095764,504.6732788,1063.762939,3833.710693,239.1308899,144.6200409,407.3940125
05-10-2017,251.3500061,586.3156128,811.6796875,266.245636,500.5284424,1058.387207,3850.518799,237.5208588,143.7371674,408.8880615
06-10-2017,256.6499939,587.2501221,824.1375122,266.7355042,503.8243713,1068.063354,3892.217285,237.9680634,146.0494232,416.2907715
09-10-2017,256.5,607.6612549,818.130188,266.3436584,504.523468,1066.614136,3931.436279,239.7122803,143.7371674,418.1923828
10-10-2017,256.6499939,605.447998,830.5880737,263.7962952,513.312561,1068.390503,3929.998535,237.7444305,143.1065674,423.6028137
11-10-2017,251.6000061,601.857605,827.633606,261.8857422,514.9105835,1059.509155,3918.495605,237.3866577,142.3918915,421.3390503
12-10-2017,251.6000061,613.3665161,859.2459717,262.1307068,523.9993286,1068.250366,3889.291992,238.8178101,142.896347,419.7770386
13-10-2017,252.4499969,615.1863403,863.3821411,265.90271,528.793335,1064.370361,3969.8125,237.7891846,143.0224915,421.9276733
16-10-2017,252.25,616.7110596,861.9049683,268.499054,520.0541992,1070.307007,3970.704834,239.2650146,144.5359497,425.2780457
17-10-2017,251.1499939,614.7928467,860.9693604,268.3521118,512.5635376,1073.859619,4035.161377,238.9966736,143.9473877,421.7239075
18-10-2017,244.1999969,603.2347412,899.8693848,257.7218323,463.7741089,1066.894531,4056.53125,241.8141785,146.4698181,418.5545959
19-10-2017,242.5,597.1360474,896.5209961,252.6272125,459.7790527,1066.707642,3990.38916,241.1433716,144.7461548,419.7543335
23-10-2017,245.75,594.1850586,923.8494873,257.2319641,449.3420105,1060.911621,4173.841797,238.5941772,144.2837067,425.436554
24-10-2017,254.5,596.1523438,920.550354,261.0530396,451.2896118,1065.772705,4175.973633,238.9072571,147.9833069,419.5959167
25-10-2017,324.7000122,581.0038452,925.6713867,299.4100647,472.113739,1126.026367,4427.353027,240.9197693,148.6559448,423.5122681
26-10-2017,320.6499939,576.0855103,932.8604736,293.1886597,483.7992249,1144.911133,4450.755371,240.1594543,149.076355,428.9906921
27-10-2017,310.9500122,580.3153076,915.3308716,294.8542175,483.8991089,1143.835938,4398.297852,240.9197693,154.3314514,428.9680786
30-10-2017,312.1000061,607.4154053,925.8683472,294.4622803,483.6993408,1155.522095,4431.765625,237.1630554,156.937973,427.7003479
31-10-2017,305.7999878,623.940979,926.5084229,293.8744812,522.4012451,1141.124634,4364.434082,238.0127869,160.6795654,423.1095581
01-11-2017,319.7999878,625.3181763,937.8337402,306.8560791,533.0880127,1136.310181,4383.721191,241.2328186,160.5113983,425.221283
02-11-2017,314.9500122,644.9914551,932.7127075,310.2362061,529.4425049,1132.196533,4361.210938,237.5655823,158.0730591,423.6833801
03-11-2017,325,648.6311035,931.2354736,309.4523926,539.3302612,1154.58728,4332.255371,237.3866577,163.4988251,425.4049683
06-11-2017,328.9500122,771.7371216,920.2549438,309.7462769,532.8882446,1143.321777,4383.671387,236.8500061,169.7362671,426.3001099
07-11-2017,317.2000122,741.1450806,892.8771973,305.8763428,526.446228,1131.962891,4324.768066,237.6102905,165.6349487,438.7411194
08-11-2017,309.75,733.4724731,874.7567139,299.605957,544.3739624,1138.927734,4338.155762,237.3866577,164.0969238,437.0196228
09-11-2017,313.75,764.9990234,887.8547363,305.2884827,539.9295044,1137.385254,4331.95752,232.6461029,161.9180908,438.236145
10-11-2017,333.2000122,769.4255981,870.0789185,312.1467285,543.824707,1181.745728,4408.462402,233.7641754,163.0288696,440.9906616
13-11-2017,331.2000122,752.260498,861.8557739,307.7868042,537.1329956,1159.588867,4315.64502,231.0808105,157.4749603,436.9507446
14-11-2017,329.2000122,760.5233765,872.737854,307.4929199,545.5725098,1131.074585,4320.504395,229.4707947,155.5097351,435.8719482
15-11-2017,325.2000122,757.326416,868.9956055,309.1584778,541.4276123,1129.158203,4279.351563,226.1166382,151.5365448,437.0196228
16-11-2017,333.4500122,758.1134644,888.7410278,312.6855774,541.8770752,1138.27356,4241.322266,228.1291351,153.2454376,453.8448486
17-11-2017,337.3999939,773.6062012,895.8809204,318.5150757,541.2279053,1141.732422,4241.52002,230.3652496,151.6646729,445.7420959
20-11-2017,333.0499878,771.1469727,904.8918457,312.0487061,544.1741943,1147.809326,4157.82666,231.7516632,153.8008118,441.3349304
21-11-2017,330.75,803.2145386,918.236084,313.5672913,546.0718994,1142.153076,4126.788574,229.2471771,154.5270996,443.6532898
22-11-2017,335.2000122,798.9848022,916.1187134,312.4406433,539.380188,1141.732422,4189.410156,230.8572235,154.4416656,443.6073914
23-11-2017,334.8999939,792.0991211,930.7924194,312.6365967,543.5750122,1137.10498,4156.983398,230.9019165,155.0397644,455.1302185
24-11-2017,332.25,814.8218384,935.0762939,310.6280823,544.1242676,1137.10498,4196.400879,232.8697357,154.569809,463.6461792
27-11-2017,335.25,817.8220825,936.2581177,310.5791321,558.9559326,1142.994507,4227.637207,231.8411102,156.7486725,457.9306641
28-11-2017,332.6499939,804.7391968,928.6257935,307.3949585,561.5027466,1133.365234,4222.381836,229.828598,155.082489,451.962616
29-11-2017,328.7999878,805.8704834,931.0877686,308.6686096,548.4689331,1138.039795,4245.090332,230.9019165,155.6378632,451.4116821
30-11-2017,320.4500122,805.6737671,908.5848999,301.5654602,535.3352051,1137.618896,4175.824707,228.665802,154.270752,447.5784607
01-12-2017,312.5499878,792.4926147,896.0285645,299.0671387,532.9381714,1133.645752,4137.845703,228.3527527,153.587204,440.0265808
04-12-2017,313.2999878,792.4434204,887.805481,298.0874023,534.2366333,1138.553833,4075.47168,228.1291351,154.783432,452.329834
05-12-2017,319.2999878,780.147583,897.6535645,299.2140503,533.0880127,1128.690796,4075.520996,227.2346954,152.4337006,451.916687
06-12-2017,312,762.3431396,913.9028931,292.9437561,529.3426514,1112.51709,3996.289063,224.5066223,150.3830109,454.4875793
07-12-2017,316.6000061,787.3283081,916.5126343,299.8019104,533.4875488,1139.769165,4051.523193,226.295517,151.3229218,459.1242065
08-12-2017,313.1499939,799.2307739,906.960022,304.2597351,541.7772217,1139.909546,4119.301758,234.07724,154.0571594,459.789917
11-12-2017,318.2999878,807.149292,901.9866943,304.7986145,542.8259277,1141.872803,4205.623535,237.5655823,152.8609314,460.6850586
12-12-2017,318.3999939,807.8378296,901.1495972,301.1735535,537.6323853,1124.530518,4190.253418,233.9430237,156.3214264,464.1740723
13-12-2017,313.25,806.559021,900.1156006,296.9116516,534.2865601,1111.58252,4237.702637,231.7069092,157.0050049,460.6621704
14-12-2017,314.0499878,803.0178223,906.56604,298.3812866,540.9282837,1111.442017,4220.200195,236.0449982,157.6031036,464.7938843
15-12-2017,312.75,819.1499634,905.9259644,297.3035889,547.420166,1124.951294,4285.995117,236.8052673,156.2359924,469.84375
